"","Date","state","value","region"
"153","Mar 21","CO",0,"West"
"154","Mar 22","CO",2,"West"
"155","Mar 23","CO",1,"West"
"156","Mar 24","CO",0,"West"
"157","Mar 25","CO",12,"West"
"158","Mar 26","CO",5,"West"
"159","Mar 27","CO",7,"West"
"160","Mar 28","CO",13,"West"
"161","Mar 29","CO",3,"West"
"162","Mar 30","CO",4,"West"
"163","Mar 31","CO",18,"West"
"164","Apr 1","CO",11,"West"
"165","Apr 2","CO",17,"West"
"166","Apr 3","CO",14,"West"
"167","Apr 4","CO",15,"West"
"168","Apr 5","CO",14,"West"
"169","Apr 6","CO",10,"West"
"170","Apr 7","CO",29,"West"
"171","Apr 8","CO",14,"West"
"172","Apr 9","CO",33,"West"
"173","Apr 10","CO",24,"West"
"174","Apr 11","CO",24,"West"
"175","Apr 12","CO",16,"West"
"176","Apr 13","CO",18,"West"
"177","Feb 29","HI",0,"West"
"178","Mar 1","HI",0,"West"
"179","Mar 2","HI",0,"West"
"180","Mar 3","HI",0,"West"
"181","Mar 4","HI",0,"West"
"182","Mar 6","HI",0,"West"
"183","Mar 7","HI",0,"West"
"184","Mar 8","HI",0,"West"
"185","Mar 9","HI",0,"West"
"186","Mar 10","HI",0,"West"
"187","Mar 11","HI",0,"West"
"188","Mar 12","HI",0,"West"
"189","Mar 13","HI",0,"West"
"190","Mar 14","HI",0,"West"
"191","Mar 15","HI",0,"West"
"192","Mar 16","HI",0,"West"
"193","Mar 17","HI",0,"West"
"194","Mar 18","HI",0,"West"
"195","Mar 19","HI",0,"West"
"196","Mar 20","HI",0,"West"
"197","Mar 21","HI",0,"West"
"198","Mar 22","HI",0,"West"
"199","Mar 23","HI",0,"West"
"200","Mar 24","HI",0,"West"
"201","Mar 25","HI",0,"West"
"202","Mar 26","HI",0,"West"
"203","Mar 27","HI",0,"West"
"204","Mar 28","HI",0,"West"
"205","Mar 29","HI",0,"West"
"206","Mar 30","HI",0,"West"
"207","Mar 31","HI",1,"West"
"208","Apr 1","HI",0,"West"
"209","Apr 2","HI",1,"West"
"210","Apr 3","HI",1,"West"
"211","Apr 4","HI",0,"West"
